"","adf.01_noInt","adf.05_noInt","adf.1_noInt","HF.01_noInt","HF.05_noInt","HF.1_noInt","adf.01_wInt","adf.05_wInt","adf.1_wInt","HF.01_wInt","HF.05_wInt","HF.1_wInt"
"6-30-pois-.2-200",0.978,0.92,0.865,0.5654,0.5654,0.5454,0.926,0.807,0.711,0.407,0.407,0.397
"6-30-pois-.6-50",0.094,0.775,0.825,0.0643,0.0643,0.0633,0,0.017,0.198,0.048,0.048,0.048
"6-30-pois-.6-75",0.918,0.924,0.864,0.2124,0.2124,0.2087,0.131,0.755,0.799,0.121,0.121,0.12
"6-30-pois-.6-100",0.974,0.92,0.854,0.3281,0.3281,0.3192,0.82,0.911,0.836,0.235,0.235,0.23
"6-30-pois-.6-200",0.979,0.931,0.894,0.5616,0.5616,0.5416,0.989,0.936,0.889,0.412,0.412,0.403
"7-40-nopois-.2-50",0.0354,0.7452,0.8145,0.0146,0.0146,0.0144,0,0.0041,0.0673,0.0691,0.0691,0.0691
"7-40-nopois-.2-75",0.8725,0.8832,0.823,0.0953,0.0953,0.0942,0.0358,0.4597,0.4388,0.2204,0.2204,0.2202
"7-40-nopois-.2-100",0.9556,0.8796,0.8121,0.2018,0.2018,0.1967,0.6213,0.5484,0.4168,0.3343,0.3343,0.3341
"7-40-nopois-.2-200",0.927,0.8419,0.7727,0.4371,0.4371,0.4239,0.6441,0.4398,0.3238,0.5523,0.5523,0.5517
"7-40-nopois-.6-50",0.0286,0.7252,0.8033,0.0131,0.0131,0.0128,0,0.003,0.095,0.0743,0.0743,0.0743
"7-40-nopois-.6-75",0.8762,0.8984,0.8389,0.0971,0.0971,0.0957,0.0449,0.6379,0.6963,0.2345,0.2345,0.2343
"7-40-nopois-.6-100",0.9662,0.9013,0.8385,0.2025,0.2025,0.1978,0.7447,0.8278,0.7298,0.3451,0.3451,0.3452
"7-40-nopois-.6-200",0.9667,0.9034,0.8391,0.451,0.451,0.4362,0.9238,0.7992,0.696,0.5538,0.5538,0.5531
"7-40-pois-.2-50",0.024,0.746,0.825,0.0191,0.0191,0.0189,0,0.002,0.053,0.01,0.01,0.01
"7-40-pois-.2-75",0.875,0.889,0.842,0.1104,0.1104,0.1086,0.026,0.473,0.464,0.0514,0.0514,0.0513
"7-40-pois-.2-100",0.946,0.88,0.813,0.2265,0.2265,0.2217,0.651,0.594,0.473,0.1068,0.1068,0.1054
"7-40-pois-.2-200",0.94,0.855,0.79,0.4639,0.4639,0.4492,0.717,0.518,0.386,0.2776,0.2776,0.2739
